id	Toxin	Value	Unit
2880e49c-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2880e49d-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
2880e49e-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
2880e49f-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2880e4a0-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7dc-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7dd-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
2881a7de-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7df-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7e0-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7e1-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7e2-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7e3-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
2881a7e4-e935-11e8-b5a3-a3f515eccf40	quantity	2000	number per litre
2881a7e5-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
2881a7e6-e935-11e8-b5a3-a3f515eccf40	quantity	500	number per litre
28826adc-e935-11e8-b5a3-a3f515eccf40	quantity	667	number per litre
28826add-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
28826ade-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
28826adf-e935-11e8-b5a3-a3f515eccf40	quantity	1000	number per litre
28826ae0-e935-11e8-b5a3-a3f515eccf40	quantity	667	number per litre
28826ae1-e935-11e8-b5a3-a3f515eccf40	quantity	333	number per litre
28826ae2-e935-11e8-b5a3-a3f515eccf40	quantity	400	number per litre
28826ae3-e935-11e8-b5a3-a3f515eccf40	quantity	400	number per litre
28826ae4-e935-11e8-b5a3-a3f515eccf40	quantity	1115	number per litre
28826ae5-e935-11e8-b5a3-a3f515eccf40	quantity	36	number per litre
28826ae6-e935-11e8-b5a3-a3f515eccf40	quantity	67	number per litre
28832e0e-e935-11e8-b5a3-a3f515eccf40	quantity	138	number per litre
28832e0f-e935-11e8-b5a3-a3f515eccf40	quantity	586	number per litre
28832e10-e935-11e8-b5a3-a3f515eccf40	quantity	929	number per litre
