occurrenceID	scientificName	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
b02f1f05-ba3f-4aef-b53e-a1e11ad9e0f8	Amphidinium	1994/2006		35.0098	-76.9084	Neuse River Estuary, North Carolina, USA				HumanObservation	present	1 - good	Limnology and Oceanography (2009) 54: 2107–2127			LINESTRING (-77.00592 35.07609, -76.81915 34.95124)		
dddd4f28-8aee-4284-b86f-afea9a3495c4	Amphidinium	2003/2004				five open water sites and two tidal creeks on the South Carolina coast, USA				HumanObservation	present	1 - good	South Carolina Marine Resources Division. Condition of South Carolina's Estuarine and Coastal Habitats during 2003-2004. (2006) Technical Report 101			LINESTRING (-78.96973 33.55971, -80.94727 32.04533)		
f90c22cc-6eb2-475f-af6c-8081b37a3b1e	Amphidinium carterae	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
c632a184-f400-46e2-9cc5-0675a99349ab	Amphidinium carterae			41.5619	-70.5816	cell isolate from Falmouth Great Pond, Falmouth, Massachusetts, USA				HumanObservation	present	1 - good	Bigelow CCMP culture collection				CCMP 1314	
c139e7e6-ef9c-4a5f-a48b-96f355fab6f4	Amphidinium carterae	1978-11		41.3497	-71.498	"Near Shore" station off New England coastal waters between Rhode Island and Maine, USA				HumanObservation	present	1 - good	Phytoplankton Community Structure in Northeastern Coastal Waters of the United States. II November 1978. NOAA Technical Memorandum NMFS-F/NEC-9	Estuarine, Coastal and Shelf Science 17:119-131				
8b70d57b-6807-463a-8881-5f8e16c537cc	Amphidinium carterae	1978-11		42.1408	-69.9613	Station 96 off New England coastal waters between Rhode Island and Maine, USA				HumanObservation	present	1 - good	Phytoplankton Community Structure in Northeastern Coastal Waters of the United States. II November 1978. NOAA Technical Memorandum NMFS-F/NEC-9	Estuarine, Coastal and Shelf Science 17:119-131				
b096365e-5255-424c-9b21-5dc6aaa07d84	Amphidinium klebsii	1965-03-06/1967-04-10		34.7312	-76.9029	Gales Creek, North Carolina, USA				HumanObservation	present	1 - good	"Studies on Brackish Water Phytoplankton" (1973) P. Campbell. Sea Grant Publication UNC-SG-73-07. University of North Carolina, Chapel Hill, North Carolina, USA. Page 286					
3d418efa-c564-4cf1-9024-f41e48b49e31	Amphidinium operculatum	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
1263248d-caa6-4000-a160-223ea5697867	Amphidinium operculatum	1999-10		38.3216	-75.2074	Newport Creek, Maryland, USA				HumanObservation	present	1 - good	Maryland's Coastal Bays: Ecosystem Health Assessment 2004, Chapter 7.2, 2005					
ee1e2ce5-2d4b-48f4-915d-0b56501a633f	Anabaenopsis	2004-05/2004-08		32.608672	-80.084596	Kiawah Island, South Carolina, USA				HumanObservation	present	1 - good	Harmful Algae (2008) 8:60-65					
bb1f1e36-1dca-4f54-b8c4-4dd8a9e39ebd	Anabaenopsis	1998-08-25		35.0275	-76.9719	Neuse River Estuary, North Carolina, USA				HumanObservation	present	1 - good	Microbial Ecology (2002) 43: 432-442					
6dc8b312-72bb-4965-b871-48a3e541ff0c	Aphanizomenon	2004-05/2004-08		32.608672	-80.084596	Kiawah Island, South Carolina, USA				HumanObservation	present	1 - good	Harmful Algae (2008) 8:60-65					
4e009219-a559-46cb-80cf-0a8570bcf36e	Aphanizomenon	2003/2004				one tidal creek on the South Carolina coast, USA				HumanObservation	present	1 - good	South Carolina Marine Resources Division. Condition of South Carolina's Estuarine and Coastal Habitats during 2003-2004. (2006) Technical Report 101			LINESTRING (-78.96973 33.55971, -80.94727 32.04533)		
84248c91-9890-4a3a-93fc-210e7a868fb3	Aphanizomenon flos-aquae	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
7dacf875-9362-4f19-ba9a-3f34105937ed	Aphanizomenon flos-aquae	1940/1967				Common in ponds and lakes of Piedmont and Coastal Plain of North Carolina, USA				HumanObservation	present	1 - good	"The Myxophyceae of North Carolina" (1967) E. Cocke. Edwards Brothers, Inc. Ann Arbor, Michigan, USA. Page 86					
91e0a5ce-1cd3-473c-bb47-e5776511fb61	Aphanizomenon flos-aquae	1990-08-19		32.455	-81.2419	aquaculture ponds near Estill, South Carolina, USA				HumanObservation	present	1 - good	Journal of Applied Aquaculture (1993) 3:195-209				catfish mortalities	
44bae492-09a7-4629-a118-13fc1975d0dc	Aphanizomenon	2016-07-29		35.47727	-76.91672	Goose Creek off Pamlico River, North Carolina, USA				HumanObservation	present	1 - good	North Carolina Divison of Water Resources Phytoplankton Database (NCDWR phyto data)					
4296a746-a37a-413f-8879-9cd2093fe2b7	Aureococcus anophagefferens	2002-04-23		39.581	-74.3221	Tuckerton Bay, New Jersey, USA				HumanObservation	present	1 - good	Estuaries (2004) 27: 112-119					
4c27f30c-b194-410f-81b9-159312d4a0aa	Aureococcus anophagefferens	2002-05-20		39.581	-74.3221	Tuckerton Bay, New Jersey, USA				HumanObservation	present	1 - good	Estuaries (2004) 27: 112-119					
0546934b-d075-4f56-98a4-4b3e15345cf7	Aureococcus anophagefferens	2002-05-21		40.7157	-73.2459	Bay Shore Cove, New York, USA				HumanObservation	present	1 - good	Estuaries (2004) 27: 112-119					
bd338546-2946-42f6-a04e-f0fa6b31d578	Aureococcus anophagefferens	2002-06-10		39.5879	-74.2318	Beach Haven Terrace, New Jersey				HumanObservation	present	1 - good	Estuaries (2004) 27: 112-119					
